dataset,source_query_index,g,mean_f,log_mean_f,minimum_group_size,maximum_group_size,size_stratum,panel_query_index,selection_key
snap-wikipedia-2018,108,5,62.8,4.155753190350744,10,144,2,3,0e5abcf12fa5342ff1f5427ada364c188921d425a87767b7069c16c708bad410
snap-wikipedia-2018,145,5,127.8,4.858260813670253,17,326,7,4,02da4f57b0b3b548e7742b6eb48948dcedef7b009ecdbeb3074ffc872a80c7ff
snap-wikipedia-2018,156,5,145.4,4.986342601527212,24,286,8,5,12672a19bd38206518dac37bcb71712ff56f07f2f1c8d7b36d118ec586f0893f
snap-wikipedia-2018,161,5,101.8,4.632785353021065,12,255,5,6,0235860d9f3679d59d0d61698ef800b267daef9c0ec804227a18e3e7c159c905
snap-wikipedia-2018,178,5,167.8,5.128714582161857,13,329,9,7,02c75f81c6b6366ab79b02c6f7682bd1c67cf84ad6448577f1e636d3aa0c8f7c
snap-wikipedia-2018,180,5,340.8,5.83422577068149,126,907,10,8,077afe05defa202f9e90e67127f22ecc4c43ef4a09cfab4ac3bf4a51463a617a
snap-wikipedia-2018,276,5,73.6,4.312140507209715,58,104,3,9,0a67f9b6b945e966bb1a61c589a6c14c638f347714366c19746ddfba7954a7e7
snap-wikipedia-2018,286,5,83.6,4.437934266612178,40,116,4,10,01aaef012e41cb72154441463835cc3b5f23c24bbd10faf25bec3b645bab6b1e
snap-wikipedia-2018,9,6,153.33333333333334,5.039114765418124,24,357,8,1,087bea9a56c77b3cc1e55c2b022528b82977cedcc96233a39d46a6d08a5e577f
snap-wikipedia-2018,14,6,109.33333333333333,4.703506086708953,7,328,5,2,03ea887b2ec76933f764dec61f7eeb8fbd45fb914a876b2f3af961c427d8fdea
snap-wikipedia-2018,145,6,64.33333333333333,4.179502370562408,6,166,1,3,0e16643bfbf9455093bf966ad6724c1ef453b7e77bdbe12243837ae188aa2fa8
snap-wikipedia-2018,151,6,89.16666666666667,4.501659809618427,21,148,3,4,02cdd885a4bf7a60b7de2255b07da5466c5dc2a0b125a3512dd0ba492a7354a7
snap-wikipedia-2018,190,6,446.1666666666667,6.102931381197569,19,2091,10,5,019301eebd27d2569414ab270b0eaee08f8b9a2eeeb474e0a7c56209976a5e05
snap-wikipedia-2018,196,6,71.66666666666667,4.28588277412098,28,121,2,6,0b8c6f849e1384e79aed92dd6e17f305c675af9e1857ab7948aaeb03cbc67bc7
snap-wikipedia-2018,241,6,96.0,4.574710978503383,3,318,4,7,0abf780a350a5e5981bbfe1a2645ecef8e23b38a0e2e154a7c24097e53f9581c
snap-wikipedia-2018,249,6,134.83333333333334,4.911428644012807,25,203,7,8,0835c293633fedc2d9fa6179f5cf0c6c52a9637d7c2cf36401752c8b4b73d81c
snap-wikipedia-2018,263,6,126.83333333333333,4.8507273321392015,17,409,6,9,0743e5a14c949bb9a0f46133c5b3131ddff6c0c0776935d565f8321889623f0a
snap-wikipedia-2018,273,6,197.33333333333334,5.28994911687752,123,517,9,10,03276d6cdde2a4ea1804a11ae425cdc8b7709ca4b8d40f8896edab7c49fce135
snap-wikipedia-2018,32,7,119.14285714285714,4.788681510917635,6,281,6,1,03abc28c52f2e22bcec0b6b8635c5c122c140fe57aa47c799d7c57729fcdeeef
snap-wikipedia-2018,36,7,88.28571428571429,4.491841500681089,4,195,3,2,0808dfff3590cee5fd4ad9aa0bcae6dc3bbd36cc138a2523c0f21bf1fcfd61c9
snap-wikipedia-2018,43,7,109.85714285714286,4.708242371127906,10,396,5,3,02900b7c6b38400b23854cce9a1480e0b82e75865a0bc8b7ac08f15da0a1ce7e
snap-wikipedia-2018,71,7,100.14285714285714,4.616533944638406,8,190,4,4,03e5416820339cb16b151005fe7f58340a3e6afb2f769f62166248ac7e96cd54
snap-wikipedia-2018,77,7,198.28571428571428,5.294739545200152,129,384,9,5,0acae3ef18d214d9749113cbbbc77e78c5504a313f2ae2bab2fd4ca424f1fa87
snap-wikipedia-2018,92,7,236.14285714285714,5.468662732295275,9,1084,10,6,03dcf60ad3b886ec2fcc8ae8b8c51dd2980a51f099da97d1356621c86082749e
snap-wikipedia-2018,111,7,41.0,3.7376696182833684,15,91,1,7,005c99aca8cf40b8adc7ee8aa7fe06dfd359bda588fcbec50bcf9d0ff2c397a5
snap-wikipedia-2018,239,7,165.0,5.111987788356544,43,376,8,8,00f45aa2a2ccaf7b6c5f87f347a0d4b21966670dc7c59cb42de9d79ebdd098f7
snap-wikipedia-2018,248,7,136.0,4.919980925828125,39,354,7,9,0065b7ca5914aa609ae804436163107c4a367f2060794a2ed4bf1e800d0b364a
snap-wikipedia-2018,267,7,79.0,4.382026634673881,20,178,2,10,227751ed80e79ddec731d78c0da6e8f805c562a781d59f26f9cdbec36ba1c93b
snap-wikipedia-2018,14,8,179.75,5.197114861038874,15,563,9,1,286020d338bc97799300beb6cdbd8d085f6e6dd07c033dea9478bfc9631aca3e
snap-wikipedia-2018,53,8,93.25,4.54595082632812,17,227,4,2,06e86e10f2711f5cf0d407830ae968e60d09ce9cfe1e7833b04e610d07fd82d5
snap-wikipedia-2018,76,8,112.875,4.735101355580122,29,212,6,3,0908e38fd9d3b4671b2c78ce0ccd83080def593a0ffe199f1ac0611bfc7ba6f7
snap-wikipedia-2018,149,8,81.5,4.412798293340635,15,226,3,4,02d2f528cbbb3a9bb031cbb9359713d4e9d71e5915fdb60a109120cd0120121d
snap-wikipedia-2018,163,8,330.625,5.804004812457904,1,1400,10,5,142fac382417a241ceffad2d3961bd8c16f15d487462db22dfb19ef7ddc37cf8
snap-wikipedia-2018,171,8,59.625,4.104707349257647,11,130,1,6,0edf557c6c0374bc10e7f3a3da4f7708d2a3d45f1a4f48a9175b40e906612b70
snap-wikipedia-2018,233,8,125.125,4.837273478673773,10,377,7,7,04a8d49e28356e694ae6a67d4d5698c99b01159b0b97674d737ff73758ed95f8
snap-wikipedia-2018,243,8,73.375,4.309119863865794,19,195,2,8,05db96881cc6885c72ea20afef0df5763ba7751f8acb67268fb94544ccb4a1f3
snap-wikipedia-2018,257,8,108.625,4.697065450692347,10,200,5,9,01ad72bec711c5994a844bb0cc4ce83a5b4f3b8fd93482cf7d414bf019037372
snap-wikipedia-2018,260,8,146.5,4.993828175779875,117,196,8,10,0263377bbdaeedcacfafae89c57ad962313e6492da173c498c08a9e7876b2536
snap-wikipedia-2018,58,9,116.11111111111111,4.763123151765089,6,607,6,1,0073cf4e35b0be04a739298b65095f78b49e7e278a8758eef853cfedfe73f348
snap-wikipedia-2018,121,9,95.0,4.564348191467836,65,135,4,2,02ad510c5ef52fe4858f7febee64def9b10e24462e1a1542c62d05b8f26ee0df
snap-wikipedia-2018,165,9,89.33333333333333,4.503506532211591,21,174,3,3,0a2e69a82e66f22a57e724a6b7daac0851639d085f8ffd2f7dfe79709f74fdb7
snap-wikipedia-2018,179,9,113.44444444444444,4.740089503887462,11,173,5,4,095e03ea10cc2682fe43d6b43004a32c96d952024685b823033b0fdd32d22855
snap-wikipedia-2018,185,9,134.55555555555554,4.909381560391083,34,242,7,5,0183c9262fe0efd0da46fd38a3a21df60968cec3948462e2bf7545c9a36b7481
snap-wikipedia-2018,192,9,168.44444444444446,5.132525111705292,9,422,9,6,021f0e58fc1ce00ecc9610339127f860d2fe6857fda3c323862af7daeceba393
snap-wikipedia-2018,204,9,203.77777777777777,5.321925380333604,1,723,10,7,06e63d82f15ab994d3d7e119a69ae4da8f3bfe840de48c095f184bea4fd5ca8c
snap-wikipedia-2018,216,9,70.55555555555556,4.270474148768134,16,190,2,8,00cf59121239703a66827da237a07cfcdc583da233dbeb5c4eb66e74acd27ebb
snap-wikipedia-2018,228,9,63.666666666666664,4.169245870395218,11,139,1,9,00fd77f551a0a8028395170c17b5e27a31fbc8075faa5c2445c791421bfc1c72
snap-wikipedia-2018,298,9,147.11111111111111,4.997962742842489,126,175,8,10,01a6418ae2052c52852177319ee6b730bb22ac8217ed6f0ae97671b7d6992ea9
snap-wikipedia-2018,9,10,159.4,5.077670695432414,19,259,8,1,096b83024632355c32c34355a559c0f032345455458801a42c0bc3cdbe53135e
snap-wikipedia-2018,31,10,46.0,3.8501476017100584,12,169,1,2,06f6033cb90f93621abab7b06b7579fc95724384bbe6aef9ba9d51dd457c1a69
snap-wikipedia-2018,73,10,84.7,4.450852825603734,3,161,3,3,0613e4e3a1810f6ac2ad16e4f5ba82f5f56c2c87e4d80492e4b0aabeb01a790f
snap-wikipedia-2018,75,10,75.6,4.338597076746545,60,124,2,4,279ee270d9e085135270b92e1f1b275a7ac4abb43ba89c2830216e1c8a0450ff
snap-wikipedia-2018,79,10,131.0,4.882801922586371,24,168,6,5,047f29144f5fd37cde8814063081d5f79b01c89bcf3106debbc30d08de9840a3
snap-wikipedia-2018,80,10,141.5,4.959341999708705,111,201,7,6,01636e053b9c0bac2e78f1d1773b922b7bc71ee555773b4ef1e81088dc8d11e3
snap-wikipedia-2018,102,10,253.6,5.539693686123306,76,522,10,7,257fb64b6c5f5189e13616787b28f5f74c8760bba2662d5e1bcbb42509f62280
snap-wikipedia-2018,219,10,115.2,4.755312844417811,14,205,5,8,0048643fd2ec95511125a5a0cdc1b1111167b3016bfe86e94595bdb1c9f61817
snap-wikipedia-2018,265,10,109.4,4.704110133842995,14,279,4,9,03708dd497b2537c78f97e3621d35ec25fd20df9222b353c9f6ada9736dee5d3
snap-wikipedia-2018,292,10,166.2,5.119190700650601,34,535,9,10,075fa58f8b73bd13965503ed08a73f6c2661fdfd8dc83523f327997bd7c4bcb1
snap-wikipedia-2018,32,11,163.72727272727272,5.104291213804554,37,409,8,1,0420ca07ea88f8ce0377e459932c01241c13881e631eeec6c95c166f37afefa0
snap-wikipedia-2018,58,11,123.36363636363636,4.823209825384125,12,391,5,2,0320bb2a98b223632375875f54097faeb9b1afdbedb8e13a6a8addb23923d3b6
snap-wikipedia-2018,108,11,84.45454545454545,4.447984602465679,3,368,2,3,144ab41c164a1f07afaf6fac565e852f6543f904d4f8acd2469ee360a14a54ab
snap-wikipedia-2018,131,11,99.63636363636364,4.611513659910266,15,281,3,4,078d3ae75449ef28fb64ab66f8d25e63c143ba97d1bdb61a6ad50d53b1f3578f
snap-wikipedia-2018,156,11,170.9090909090909,5.146965795860087,13,487,9,5,0640c8e8d28a53dd2437e5d05f88727a2c1fd525aa7ad8922b9156e411a57db9
snap-wikipedia-2018,168,11,299.6363636363636,5.705901440183422,24,2020,10,6,03e02a63294d324de4881ca39b553ddac0d71ae2fe688d770faa87fd6e1487f9
snap-wikipedia-2018,190,11,103.0,4.6443908991413725,45,455,4,7,00af359429eb2a719ae243b95002ef1ee8c1e8eae25f8c0e7ce1ddeebd0bc483
snap-wikipedia-2018,204,11,66.0909090909091,4.206048551802102,6,184,1,8,02893850222fb8ce261a6a086581019f2478b47a1e2b11e42800c35108990dc7
snap-wikipedia-2018,261,11,130.54545454545453,4.879352453833113,4,368,6,9,08122b550207231988e8e68dcbb7f3b6dfdf35ac774fa83f9c755e1942aa36f8
snap-wikipedia-2018,297,11,142.36363636363637,4.965384314164668,111,217,7,10,006c5e7a8eb51d96295ada507d90242d56c48cd1415603b50d486414b9218aba
snap-wikipedia-2018,12,12,68.41666666666667,4.240126992378842,21,108,2,1,03264a341894c81c5bd47d117aa358ac5a9b0ad70c418a8e20fa5234f2c56569
snap-wikipedia-2018,75,12,67.41666666666667,4.225616459664428,61,79,1,2,0758ebb72bbefb2bc76e1b65d65a0d0870e4abbaa6c57c2c9615c817f4d47a77
snap-wikipedia-2018,99,12,163.41666666666666,5.102403856234615,4,685,9,3,083803ba1308aa5667ba8bfb70e0bc3d262bbc778522450f66f25b5df692131c
snap-wikipedia-2018,133,12,152.08333333333334,5.030982435427125,5,424,8,4,0696b9b70bf9b859decd6ecad76797770d448a48ae0a23e806e199dd4cfa695e
snap-wikipedia-2018,159,12,128.25,4.861748513388538,9,376,6,5,034b968c7bc2256a05f12f659e8c6819a4a20fcc4e1be7865a17e99dfd23b42b
snap-wikipedia-2018,179,12,221.83333333333334,5.406424107873888,11,603,10,6,17d7625926920ed946d27fe9d1281e387fc59a1140aaba0be14fde4ebf3bf3b3
snap-wikipedia-2018,190,12,83.75,4.43970574626056,14,257,3,7,0549fb1ceb4e3094b6a86b4178a1789d7a2d566b8aef14e998d2cbc97b4af1ed
snap-wikipedia-2018,198,12,111.75,4.725172978382788,51,306,5,8,00e49a89f604666412ec89e46607cb88c50f85d2ab07ed57f722f6602dcf2637
snap-wikipedia-2018,268,12,95.16666666666667,4.566082797280044,10,261,4,9,05ed303ff5adfdb931a720029639102b3b651b7d8a6cd507681fff644a982c17
snap-wikipedia-2018,283,12,138.66666666666666,4.939258631254028,10,525,7,10,09d557eb4b0c3dcccf7b7127b0ffbf73255a77b47d775a8f94296dc87cdccdac
snap-wikipedia-2018,7,13,88.76923076923077,4.49724227482502,5,218,3,1,015c61708571918903b2595cef57dbaad7b257df726253635f16ec2199567a8c
snap-wikipedia-2018,71,13,294.53846153846155,5.688798985866965,6,1671,10,2,0042b360a2fe6d24365a16b9b3c96b08dd5e3d19b0feec7a252cc285c6146b48
snap-wikipedia-2018,202,13,114.07692307692308,4.745600801072886,7,630,5,3,04248883901dfa3d0e2cfa110b2513016d1bee5df0d956bccd760bd48f35d13f
snap-wikipedia-2018,227,13,140.07692307692307,4.949305295354874,25,207,7,4,1a2ec4023fdbcdfca2b60578eb56b028bbbeb2004d2f8d03ac0f501f5001e365
snap-wikipedia-2018,235,13,163.53846153846155,5.103144351620869,18,543,9,5,0e5dd5eb6e71b29445778dc72ea968b98e4f1cf344c3c01c44ed400ef73f4127
snap-wikipedia-2018,239,13,124.3076923076923,4.830772251140508,15,465,6,6,071c4d2b7b749255e23363e91dab5b710e8d4323235a6426740ec87960bed440
snap-wikipedia-2018,275,13,46.92307692307692,3.8695971613259164,9,165,1,7,12548f3ec4b98eec9dee11fce930c7c2dc44f5cd7a00ecbdc17aaf0b7cd96401
snap-wikipedia-2018,280,13,106.3076923076923,4.67570033679393,24,328,4,8,02a691894d3b7e15a1da791df288b09012d8f40e8f12f4716221d814a16a67c2
snap-wikipedia-2018,288,13,80.6923076923077,4.402959844340347,32,195,2,9,11bf6026a4aa3e314b3e4383eb1dcdb4bf8102cf651034bbf789cbdcafa7f4e4
snap-wikipedia-2018,297,13,143.92307692307693,4.976203097674771,16,383,8,10,0b78529b05a04595fe7fa8f5148c9b18a8f5f85ad4c600a65e7b7ef595376d98
snap-wikipedia-2018,49,14,94.64285714285714,4.560621016075914,11,252,3,1,08498296414de602f1762a2d742a87988a25178090d561f927b04cd37450d93e
snap-wikipedia-2018,69,14,86.5,4.471638793363569,23,355,2,2,049fe25cde8ad81491c1da859df6f86664ac1ba8e7eb9b7c8b82c36a8e2188ba
snap-wikipedia-2018,75,14,158.5,5.072043922224899,19,840,8,3,05c75953f3495ab8390fd2b0f97a5948b4b0f595f4b5edc39f77a6953aa5a25b
snap-wikipedia-2018,89,14,200.5,5.305789381386738,9,984,9,4,06b3d314b811cfdc553ab927e79f1d54984510acfa6b61808aa0e8ccc59f9b6a
snap-wikipedia-2018,116,14,120.28571428571429,4.798149037256034,25,250,5,5,085d49cc569ab14ffd7c446d11633f92c009a4a380df09c60c2a6fba5d453733
snap-wikipedia-2018,190,14,275.14285714285717,5.6209183301530175,17,1525,10,6,04bf290b7070f68c98d0bed320b476255f3984ab8a0894209a3aa5dca5106199
snap-wikipedia-2018,214,14,70.35714285714286,4.267697449033295,52,136,1,7,00a21fbed4fd9dfc1035be384a111f6cd36a0c6451ce7a3609ccd3f6e722ea73
snap-wikipedia-2018,263,14,126.78571428571429,4.850354753893461,5,364,6,8,02611b34b2dbb21dc7a931aa79170cab4c476097a1cb31202b80d9e137b12bea
snap-wikipedia-2018,266,14,106.92857142857143,4.681469632657481,6,522,4,9,071c4bb857b63fff96b0f5045c8fd01bf74013f385c67d0056491c9cb46d2603
snap-wikipedia-2018,289,14,149.71428571428572,5.015385896854854,12,368,7,10,06dc401a3b239f626391f40cdb1e9a7a6bafae1a8472a083eb5697742d48f9dc
snap-wikipedia-2018,42,15,126.33333333333333,4.846808319938465,7,281,6,1,009d5f1929a2cbdcd359290d66f2191fc5235e2cad2ab69e69ffb3b36dcaafc6
snap-wikipedia-2018,68,15,105.73333333333333,4.670333511894505,17,357,4,2,0884e61e2f42bcb2483f69ae9c8eee7337e448aebf7054737fcac9761f044598
snap-wikipedia-2018,73,15,141.86666666666667,4.961911794371367,10,222,7,3,03578915ac7ca769ce65415667493208c51c1a274bcad71a96304d2890565abd
snap-wikipedia-2018,78,15,96.13333333333334,4.576084605092995,8,354,3,4,057c5a042f04724f4d97038bb409414f98d76badafe53a9c5c545285225eba47
snap-wikipedia-2018,132,15,75.46666666666667,4.3368549160271606,17,208,1,5,08b81e80157205bef6ebcbffe7b9b2af70cce81bcf626741fa0c395b55bb5255
snap-wikipedia-2018,194,15,147.33333333333334,4.999461993498131,12,603,8,6,0866640de2adeba913d40750531f50375b815cf26530fe21d4fa442b226eba6b
snap-wikipedia-2018,210,15,398.4,5.989963420981715,4,2421,10,7,13bd237efa628da44bb997ef08ae8ef4682996cd72dd33ea566676ca311c786d
snap-wikipedia-2018,218,15,162.86666666666667,5.09905308902377,3,607,9,8,049388d81977a7c383136a59293826a137e521fec21cc6e8b7d615bf53336156
snap-wikipedia-2018,224,15,115.33333333333333,4.756459633534317,9,272,5,9,0691af509835873fd35445dab659cc155eda4b6442eb0936534ce70983d0903b
snap-wikipedia-2018,284,15,85.46666666666667,4.4597589832142335,57,272,2,10,068971a7cc40d4c06f611e8b037bc54fb4da11cc1b4cdec223ad7980df785e9a
snap-wikipedia-2018,34,16,185.0,5.225746673713202,15,517,9,1,0a06c2ecab2b844fcdc011b18e5beddc1060ccae2293b59bad83bf12f590cdf2
snap-wikipedia-2018,85,16,122.0625,4.812692356399344,9,609,6,2,086f3defc3bf5eae64e993282799f2a76722e5b2ea34a43360828dafe5fa7688
snap-wikipedia-2018,104,16,113.5625,4.741120525599924,14,271,5,3,03ba531b6ba2719f7a292de220bbf03e1148abeae7ae0bce68ff23a50c107362
snap-wikipedia-2018,124,16,105.125,4.6646176446315115,9,311,4,4,00053db01f9de038e0a144c4736490f97e14a2c72661bd617ea23c03b41c89f8
snap-wikipedia-2018,125,16,148.8125,5.009384512194603,13,275,8,5,0af9bf4bf9251f3b8adfe247bb6670d933dd3e01e315e2cd9b8b8c34b1afe8f5
snap-wikipedia-2018,128,16,86.875,4.475915350130829,15,219,3,6,0126800165026f9d7e1a4fb022767b221e5050efcaa86ef0a28ba28ae6801f09
snap-wikipedia-2018,173,16,67.3125,4.224092765936757,7,187,1,7,001f6b5094f3d7797272791d82357392e2071ad07bbb6d505e049bf64fee8101
snap-wikipedia-2018,191,16,145.25,4.985317486111966,39,264,7,8,0aabf03970fe00db4c1ced1a30b50c52826232f8307b345ff5dc7019eace6848
snap-wikipedia-2018,219,16,79.75,4.391357962102766,10,219,2,9,0aa5ea02e9f553b989d4f47ed2185c2ff8081ad0473ce0399d50d4ab9c7c5e40
snap-wikipedia-2018,274,16,310.9375,5.742802847229828,9,3057,10,10,07677aabffd74adbd5f012dabcc3d17fc1416cd1790efbee7d3262fb5d99e89f
snap-twitch-2018,18,4,217.75,5.387929525237724,11,681,1,1,150a756ad0196b6fc0eb97b95ac70f2cc13b88e525ca2554717b8b4450f0624b
snap-twitch-2018,58,4,5730.5,8.653732555555065,7,11193,10,2,04a2f7d9af4f3340a6919ade993f8c3557bab19bc92dd47f388968c3f2bbaaa0
snap-twitch-2018,89,4,1038.5,6.946495107298068,46,2227,4,3,0128c898e3e19cea655ed5302276032801a9408e9ca1477a2a06232afe6f32d5
snap-twitch-2018,127,4,297.25,5.697932060978025,21,1061,2,4,016cc77a513c6549e28e4d6c090a21b1ba52a79de2f35b56415bded34969a24c
snap-twitch-2018,137,4,2610.75,7.867775773717617,5,6622,8,5,01d5363143e0962d469ae0f540f06cdfe4249e779d52f9ea800da50cbceb238b
snap-twitch-2018,190,4,444.25,6.0986359221697715,12,1113,3,6,1a27b0d90d067f94298937add91a9aea0d5917b048a6316988f619e2f8a5cd05
snap-twitch-2018,208,4,2117.0,7.658227526161352,13,5741,7,7,021aeecb469057e3b7cf437eb97e310bd49cfd2f4d92aafb53e0b6f00b6ac3c0
snap-twitch-2018,260,4,1168.5,7.064331586024234,8,2833,5,8,000fb743ad11dd37eefa207401a72e66c29ea00f89560da37ac693256cbd3cff
snap-twitch-2018,281,4,1574.0,7.362010551259734,4,2309,6,9,08e122741804994670b1f496a29ff8a84b366780e748396ab4f4c8de7944082f
snap-twitch-2018,293,4,3271.0,8.093156697722637,52,6467,9,10,03d9a78b4f3383283dda6fdaeb5e84e4392861c870ef55626a7629091e157dce
snap-twitch-2018,54,5,1128.6,7.029618866738978,44,2771,4,1,0783c21233bdae6c950f33c3d7cb247d5a6f2c2fd307883c937b81682d397951
snap-twitch-2018,70,5,1640.4,7.403304815195611,14,3602,5,2,104163a0f258b59996eaf43048a04aff302d9db0bb1c8e7e2269ce8f1c1c1f25
snap-twitch-2018,82,5,1792.6,7.491980052317896,8,6712,6,3,0abdd0805c0ff41aeded507cfed288946b6124538a8702148c3b501be2d4314a
snap-twitch-2018,193,5,2609.6,7.86733535895469,5,6467,8,4,034049e44bf09ae2e36e7f62e6521097c0fd68168d5c0c2108932267cbd6c7b2
snap-twitch-2018,265,5,5425.4,8.59903120963187,56,16368,10,5,0b85323d7d045a4b128689785a183855952970aa7c8d77a67e84a9f636bcebea
snap-twitch-2018,268,5,3730.0,8.224431573221159,23,10364,9,6,0b41d643d924811cedac717822720e78c65bacf6452e2e539af75862b5c4241d
snap-twitch-2018,273,5,556.2,6.322924241905651,6,2573,2,7,025ebb1c2a6a4265d645682aa8a74ca7bf3b262de571359c325b8a8017dd669f
snap-twitch-2018,276,5,178.2,5.18850250054083,36,423,1,8,04a3b3c40b4f12abb66689aa72fd8b9dbb5bebfedb80db0ea09e6c9750ae0c7b
snap-twitch-2018,279,5,712.6,6.5703225812658,10,2771,3,9,03923cae4c4f66527eb8e0cb0312b5665d05be103c4ae154aaadfa177a5e92ae
snap-twitch-2018,299,5,2208.2,7.700385738027032,5,5193,7,10,0205d1d34f7ffff3dcd9963f2cc22f93cb5b364b9774225c69b65156fa0ad380
snap-twitch-2018,25,6,3707.0,8.218247926685745,14,6862,9,1,065932324565f445fad49aae014b62cc42b23e07c5ce6365b4396121ef4da884
snap-twitch-2018,109,6,785.3333333333334,6.667380790739565,11,3186,3,2,023f113c69f57571cbb5f2d53dd66bab5390c35b96173efb7feeaeccf75d529c
snap-twitch-2018,130,6,2538.3333333333335,7.839656858370439,25,7575,7,3,09098a71fc8e45f212a5575d6cf931eb6f819f701ed510e47de9438a85ff28b5
snap-twitch-2018,190,6,1712.6666666666667,7.446390603387395,70,6923,5,4,02000768ff7dbcf8e50b85fb2dbf0d02c9ca0055d030fb799caf91248b639f75
snap-twitch-2018,198,6,244.33333333333334,5.502617830060767,14,527,1,5,1c5205d3cdc803e7674c2e49c455711c2b6e12752bf09841cda0e9e01e845cb0
snap-twitch-2018,220,6,2043.8333333333333,7.623071565563127,5,5964,6,6,03ed085c1891d7053c0d1a422e465f0777140dd7505276e8a619010fa2c40bb2
snap-twitch-2018,241,6,4706.833333333333,8.45698306701721,19,13748,10,7,04b921461cfcbb378af3946fca312f59ef29abc3b79496ec05396e637f19a509
snap-twitch-2018,292,6,600.8333333333334,6.399980552049403,9,3027,2,8,07a7cd0e0b0e4f3021f16e5d5b8990020fbcf117cb99868efdd6621f3b84841d
snap-twitch-2018,296,6,1090.3333333333333,6.99515546926297,13,3799,4,9,15827c6195c48ad323340703848926f6619fcfc6d92d67371a545220e6902151
snap-twitch-2018,298,6,3024.1666666666665,8.014721465365923,33,8431,8,10,0ac0c296b8cb8d99350f217f16f8b08b02f8d035c30a4ffb119b36c203e50110
snap-twitch-2018,26,7,225.42857142857142,5.422429537256067,18,542,1,1,04a990d260edf441d6d3c8e46ded946bd7b9c4683beb81cfb22afa390851a4dd
snap-twitch-2018,36,7,1163.5714285714287,7.060108425847248,6,6467,4,2,00139b51f76bb74486a44fc089ba3b1483ff869b0513fdd412c992698e7aa554
snap-twitch-2018,53,7,2726.8571428571427,7.911271650604303,8,8431,8,3,00489538d90f59e4614f4727f095615e287ae8c248531b85ef311866e07e7df8
snap-twitch-2018,133,7,1574.0,7.362010551259734,16,3116,5,4,0af4a936afff79f0f4212385bc29a8b0c8e2f7e12493e2543189119ca4b964a3
snap-twitch-2018,139,7,2318.714285714286,7.749199304367078,39,5438,7,5,00a35476e68bf04bac74e8c23d68626a80c1c7e5304268443b191e7a72df8210
snap-twitch-2018,183,7,1845.142857142857,7.520853799469878,12,8431,6,6,006b9719d989a527236c6992a540fc87ec71e6571e3e6fcdbf48bd26bdb62efc
snap-twitch-2018,198,7,3478.8571428571427,8.154746521022789,9,23114,9,7,097ae01581329cffcebd02ff59b1b43539a7c924a446cf0c589223c699355379
snap-twitch-2018,210,7,767.4285714285714,6.6443476132179295,14,2307,3,8,0039bb0008a1ecef4ffe248ce5e274cd6cf8979e362b572d2e108a1b319daebd
snap-twitch-2018,219,7,574.1428571428571,6.354618457144423,14,2510,2,9,057c17f6afd207be0f931af005681c6df6acb19183a5469c1e915abf9ffd3483
snap-twitch-2018,286,7,5520.428571428572,8.616391904960254,7,23114,10,10,03fb21fdd4f8403f139d01b014f71665ec688db6e2e0e03e0a7fe106f8cacd0a
snap-twitch-2018,8,8,4493.625,8.410637517396655,23,23114,10,1,19d2e17833ef240d03aba35cb20b951882f69b0a9b7dcfa5a7921e56193d4973
snap-twitch-2018,13,8,1915.0,7.557994958530806,6,6712,5,2,0090ebb34051365203e2ef252062286599764337061d1847b7b7a60c0a7bc3d7
