295 532
90 124 38
91 92 1
91 94 14
92 93 1
92 96 14
93 97 13
93 105 26
94 96 1
94 99 2
95 100 2
96 101 2
96 110 15
97 100 1
97 132 26
98 111 15
98 160 62
99 101 1
99 102 10
100 110 14
100 143 30
101 103 10
101 115 15
102 103 1
102 106 3
103 105 1
103 109 3
104 107 2
104 116 7
105 113 3
105 132 13
106 108 1
106 109 1
107 120 7
107 250 169
108 112 1
108 121 7
109 112 1
109 113 1
110 115 2
110 174 60
111 117 5
111 129 9
112 114 1
112 125 7
113 114 1
113 119 5
114 122 5
114 128 7
115 134 10
115 179 60
116 118 1
116 120 2
117 126 3
117 138 9
118 123 2
118 152 38
119 137 8
120 123 1
121 124 1
121 125 1
122 140 8
123 155 38
123 258 169
124 127 1
124 133 4
125 127 1
125 128 1
126 131 2
126 158 38
127 130 1
127 135 4
128 130 1
128 136 5
129 138 5
129 181 53
130 139 5
130 156 36
131 144 7
131 162 38
132 134 1
132 137 3
133 135 1
133 152 32
134 141 3
134 151 30
135 150 15
135 153 32
136 139 1
136 145 8
137 140 1
137 141 1
138 144 3
139 146 8
139 164 36
140 142 1
140 145 7
141 142 1
141 154 30
142 147 7
142 157 30
143 149 8
143 151 26
144 170 38
145 146 1
145 147 1
146 148 1
146 172 36
147 148 1
147 166 30
148 150 4
148 168 30
149 158 22
149 163 26
150 171 30
150 173 32
151 154 3
151 163 8
152 153 1
152 155 2
153 156 1
153 159 2
154 157 1
154 167 8
155 159 1
155 269 169
156 161 2
156 164 5
157 166 7
157 169 8
158 162 2
158 174 14
159 161 1
159 271 169
160 181 15
161 165 5
161 273 169
162 170 7
162 180 14
163 167 3
163 189 22
164 165 2
164 172 8
165 175 8
165 278 169
166 168 1
166 176 8
167 169 1
167 192 22
168 171 4
168 178 8
169 176 7
169 193 22
170 186 14
170 219 53
171 182 5
171 184 8
172 173 1
172 175 2
173 177 2
174 179 2
174 180 2
175 177 1
175 282 169
176 178 1
176 202 22
177 211 30
177 283 169
178 184 4
178 203 22
179 183 2
179 189 10
180 183 2
180 186 7
182 185 6
182 187 8
183 188 7
183 190 10
184 187 5
185 191 6
185 194 8
186 188 2
186 225 53
187 194 6
187 214 24
188 200 10
188 226 53
189 190 2
189 192 3
190 195 3
190 200 7
191 198 4
191 201 8
192 193 1
192 195 2
193 196 2
193 202 7
194 201 6
194 216 24
195 196 1
195 204 7
196 205 7
196 206 7
197 223 38
198 199 2
198 208 8
199 209 8
200 204 3
200 230 53
201 208 4
201 217 22
202 203 1
202 205 2
203 207 2
204 206 1
204 231 53
205 207 1
205 212 7
206 212 7
206 233 53
207 210 4
207 213 7
208 209 2
208 220 22
209 221 22
210 214 5
210 215 7
212 213 1
212 235 53
213 215 4
213 238 53
214 216 6
216 218 6
217 218 2
217 220 4
219 223 8
219 225 14
220 221 2
221 222 2
223 227 14
223 228 15
225 226 2
225 227 8
226 229 8
226 230 10
227 229 2
227 237 15
228 232 6
228 237 14
229 234 10
230 231 3
230 234 8
231 233 1
231 236 8
233 235 7
233 239 8
234 236 3
234 243 15
235 238 1
235 240 8
236 239 1
238 242 8
239 240 7
239 244 15
240 242 1
240 249 15
241 245 10
242 251 15
243 245 6
244 248 6
244 249 7
245 246 2
245 247 3
247 248 1
248 254 7
249 251 1
249 254 6
251 255 6
252 253 2
253 262 7
253 263 24
254 255 1
254 256 2
255 259 2
256 259 1
257 260 1
258 260 1
258 269 38
260 261 2
260 270 38
261 274 38
262 266 24
263 264 1
263 266 7
264 265 2
264 267 7
266 267 1
266 287 39
269 270 1
269 271 1
270 272 1
270 274 2
271 272 1
271 273 1
272 275 1
272 276 2
273 275 1
273 278 5
274 276 1
275 277 2
275 279 5
276 277 1
277 280 5
278 279 1
278 282 8
279 280 2
279 284 9
280 281 2
280 285 8
282 283 1
282 285 3
283 284 1
284 286 2
285 286 1
287 288 1
288 289 1
288 290 1
289 292 1
289 293 2
290 292 1
291 293 1
292 294 2
292 295 5
293 294 1
